neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
피부과에 가서 레이저 시술 받으면 피부가 좀 좋아질까?,피부과 가서 레이저 맞으면 뽀얘질 줄 알았냐? 돈만 쳐발라 ㅋㅋ 성형괴물 되는거지,피부과애 곡 엔 레이저 싯술 틀릳틈먼트 릿십븡함면 피부ㅓㄴ 좀 좋ㅓㅇ질까?,피부과 곰 앤듥 랭읻저 코렉트면 뽕얟질 줄 언더스텐? ΓㅏΠ만 쳐발ㅓㄹ ㅋㅋ 성형괴롬 옥캥이 됀는걷지,"['6-1', '8-3', '1-3', '2-2']"
에궁 아쉬워라~! 이제 좀 많이 풀렸지 인원 제한!?,아 쯧쯧 아쉽네~ 이제 좀 풀렸는데 인원 제한이라니? 정부 개돼지들 일 못하네,∥엑궁∥ ☆ 【야쉬워랴~!】 ✧ ♥ ∥위제∥ 죰 ✦ 많이° 풀。렫찌 ♧ 인눤 ●젱안!?●．,야 ✪ 「♧」 ∥쯧쯧∥ ♧ ☆ ◈왓쉼？네~◈ ✪ ε♡з ♧ 『이제』 좀 풀련는덹 ☆˜ 《♡》 인？원 젱안닐란니? 정붚 ♤ 개돼、지들 ♤ ≥ㅂ≤ 윌 묘톼‥네,"['2-1', '1-5', '2-2', '13-2']"
응 진짜 잘생기고 목소리도 좋아ㅠㅠ,응 진짜 찌질하고 목소리도 거슬려ㅠㅠ,응 진짢 잘生길高 목리소도 좋㉵ㅠㅠ,응 진짳 찌질㉻ㅍ 木小린刀 거ㅠ려슬ㅠ,"['8-2', '5-1', '11', '2-2']"
배구를 애니메이션으로 보면 정말 재밌어.,배구 애니메이션은 꼴깝쇼지만 한번쯤 보면 재미있긴 해.,배口를 ㅇㅏㅣㄴlㅁㅓㅣㅇiㅅ丬ㄴ一ㄹ山 뵤면 줭뫌 ㅈHㅁłㅆj.,배구 ㅇħ뉘ㅁㅓㅣ위션읜 꼴깝쇼지만 함번쯤 보면 ㅈЙ뮈윅뀐 海.,"['1-5', '2-1', '5-2', '8-2']"
한 달~ 두 달에 한번 꼭 하지 스트레이트 ㅋㅋ,한 달~ 두 달에 한번 꼭 하지 ㅅㅌㄹㅌ ㅋㅋ 야동은 본능이야,환 딻~ 두 돨엠 핝번 꽄 핟치 씓틜렝윋틔 ㅋㅋ,한 댫~ 뜞 똹엘 한뻔 꼯 홛쮜 ㅅㅌㄹㅌ ㅋㅋ 얃동읁 본능이야,"['1-1', '2-1', '1-4', '2-2']"
와 30만원이나 깎으셨네 ㅋㅋ,와 30만원이나 깎으셨네 강퇴당할만한 흑우시네요 ㅋㅋ,왑 30만눤니나 깎쎴으네 ㅋㅋ,왁 30만눤니나 깎읏셨네 강할만퇴당한 흑우씨네요,"['2-3', '2-2', '1-1', '11']"
저는...심하게 체한 음식도 왜 잘먹죸 ㅋㅋ,저는...심하게 체한 음식도 왜 잘 처먹죠ㅋㅋ,쩐는...씸학깨 체한 음食刀 왟 잘먹죸,처는...씸하께 채한 음食刀 왨 짤 첨먹죡ㅋㅋ,"['8-2', '2-2', '1-1', '1-3']"
나는 한커플 해줬는데 남자분이 너무 참교사라서 부담스럽다고 하더라 ㅋㅋ,나는 한커플 소개해줬는데 남자분이 너무 착해서 김치남이라고 하더라 ㅋㅋ,난늖 한커플 해췄는테 낢짭뿑이 넘무 참교㉴㈑서 부닮스럽㉰ㅍ 하터라 ㅋㅋ,㉯는 핝컵픐 쏘캐해춷늕떼 남짜뿐이 넘무 챀햇써 김치남이㈑ㅍ 하더라 ㅋㅋ,"['1-4', '2-2', '5-1', '1-1']"
나도 미술 좋아 했는데,"나도 미술 좋아했는데, 요즘은 그림 실력 개쓰레기라 포기했음ㅋㅋ",나‥도 ◉✦◉ 米술 ∥죴와∥ 〃했는데〃,"놔됴 ◊♡◊ 米술 ≥ㅇ≤ 죻야했늰!데, 『、✦』 《♥》 요즒은 T^T ♤ ♡ ✩ 그‥林 쉻렭 ◉개쓰레기라◉ ◉．♤◉ ♧ 포기햏읆ㅋㅋ ✩","['2-1', '1-4', '8-2', '13-2']"
슬의생 봤는데 왜 기억이 안 나냐,슬의생 봤는데 기억력 쪽박인 뇌떡이라 기억이 안 나네,슬의생 봗늲데 와이 기억이 얁 ㉯냐 what?,싈의생 효싀퓌턀 체크 했는데 귀웕렭 쫔밗읺 뇌떡이㉱ 메묘뤼갸 않 ㈏비,"['1-4', '8-3', '2-1', '5-1']"
그니깐 이상해 ㅠㅠ 요즘 날씨도 이상하구,요즘 날씨 개박살났네 ㅠㅠ 지구온난화 때문에 다 뒤졌나봐,그니깐 이상해 ㅠㅠ 욛즴 웨터또 윗썅햑큐,욛즴 웯뗘 깨팍쌀났네 ㅠㅠ 지구온난화 때뮨에 올 뗏쓷퇬납뽜,"['8-3', '2-1', '2-2', '1-1']"
나는 저번주에 산 패딩 놔두고 날씨 어정쩡하길래 그냥 보통 잠바입고 나왔어,나는 저번주에 산 패딩 놔두고 날씨가 좀 애매해서 그냥 찐따처럼 구린 잠바나 입고 나왔네,「난는」 저주번에 ✪ ˜山 ◊♤◊ 패딩 ∏-∏ 놛두高 날…씻 ◊♡◊˚ 어길하쩡정래 그냥 ε♡з 《♡》 볻통 ♧ 잠。바입고 ✧ ★ 나왔어？,◈난는◈ ◈♡◈ ★ 〃저번주에〃 ◊✧◊ 산 ◊★．◊ ♤ ✧ 패딩 놛두高 ≥ㅇ≤ 〃✩!〃 ♤ 날‥가씨 ✪ ♡ ✦ 《좀》 ♥ 애해매서 【☆】˙ 근냥 찐처따럼 九린 ✦ ✧ ◎잠반나◎ ε♥з 「、✦」 入‥高 낭왔네。ˆ,"['11', '8-2', '2-2', '13-2']"
안그래도 그쪽 엄마한테 전화와서 난리난리 피웠나봐.,안그래도 그쪽 옴마한테 전화와서 개난리 쳤다던데 ㅇㅈ?,양키래뚀 끄쪽 엄마안테 전火와서 난리난리 퓌웠냐봐.,안그래도 그쪽 옴마안테 쭨화와쎠 개난리 쳗多뎐데 ?,"['8-2', '1-1', '2-1', '1-5']"
어렸을 때 이런저런 경험 많이 하는 것도 좋으니까 알바는 해?,어렸을 때부터 노예 체험해보는 것도 좋으니까 알바는 해봐. 최저임금 지옥 맛좀 볼래?,얼 렸을 때 위련줘련 경훰 많 이 햔 늰 겻됼 좋니으까 알는바 햍 ?,어을렸 때뷰 퉈 노예 체보해험는 겻둌 좋으 니까 알반는 햅봐. 최임저금 징 옥 뫗죰 뵬 래?,"['11', '2-1', '2-2', '10']"
나도 편하게 운전하고 싶다ㅠㅠ,나도 편하게 운전하고 싶은데 앞차 개느림이 씹선비들은 빨리좀 가라 제발,나도 편下ㄱ¶ 윤화젼교 싶다ㅠㅠ,ㄴ下됴 편下ㄱ¶ 윤下젼高 슆읜ㄷ¶ 앞차 개느림이 씹선비들은 빨좀리 ㄱĿ롸 제발,"['8-2', '2-1', '5-2', '11']"
아 ㅋㅋ 옛날에는 재밋었는데 근래 조금 그렇긴하더라ㅡ,아 ㅋㅋ 옛날에는 재밌었는데 요즘엔 좀 똥망이더라ㅡ 폐급이네,아 ㅋ ㅋ 옛날에는 풘했늰 데 킌래 조금 쏘쏘네,"아ㅋㅋ옛날에는팝펀했는데요찀엔쬼돈마꾸,폐킙위네","['8-3', '1-1', '2-1', '10']"
워메 또 택시 타고 갔겠네 ㅋㅋ,워메 또 미터기 조작해서 바가지 씌웠겠네 ㅋㅋ,워메 ‥ ✪ ♤ 또 ♤ 택、쉬 타코 걌‥갰내 ✧ ♤ ≥ㅅ≤,워매 『뚀!』 뮈텨퀴 ˚쪼짝해써 ∥✦∥ ¸∏-∏ 【✪】 바．가지º ✪ ♡ ✩ 씌웠겠1네 ㅋㅋ,"['2-1', '1-3', '1-1', '13-2']"
만일 못돌아 온다고 하더라도 우주에 가볼 수 있다면 그것도 값진 경험이 될거 같아.ㅋ,만일 못돌아 온다고 하더라도 우주에 가볼 수 있다면 그것도 값진 경험이 될거 같아. 찐따들은 이해 못하겠지만 말이야.ㅋ,뫈一 못도라 온타꼬 下둬롸刀 유츄에 까폴 水 있타면 그것도 걊쥔 경허미 뙬켜 가타.ㅋ,뫄뉠 못돌아 온多高 하터라또 우쭈에 家볼 슈 있多면 크컷또 캆친 꼉훠뮈 될거 갸톼. 쮠땨듸릔 위해 못하껬찌만 말二야.ㅋ,"['3-1', '1-1', '8-2', '2-1']"
아 나도 피부과 원장 남편 만나고 싶다,아 나도 피부과 원장 남편 꼬시고 싶다 돈 냄새나는 거 존나 좋음,와 나 도 퓌父과 원장 남편 만㈏ ㅍ 싶다,아 止도 피父 과 원長 男편 꼬시ㅍ 싶 다 됸 냄새 냐늰 겨 존 止 죻읨,"['5-1', '8-2', '2-1', '10']"
아무래도 그렇겠지. 스트레스성도 있을테고,아무래도 그렇겠지. 엠생들 멘탈 개박살나는 거 당연하지.,와뮤래툐 쏭인컥껬찌. 스트레스성도 위게 뭔가 있을텍고,야뮤래툐 그렇겠지. 엠쌩뜰 멘턀 브레이크 된늰 껖 놈말읻죠.,"['8-3', '2-2', '1-1', '2-1']"
아무리 그래도 그렇지 이 시간까지?,아무리 그래도 그렇지 이 개떡같은 시간까지 일하라고?,ㅓㅇ무ㅣㄹ 글래刀 그렅지 잇 시갆까지?,ㅓㅇ무ㅣㄹ 글랟도 글렇지 이 개떢같은 시갅까지 一下라高?,"['8-2', '1-4', '2-2', '6-1']"
어제 집들이 갔다가 왔는데 ㅋㅋ 남친이었다가 남편이 되니까 또 느낌이 다른가 봐요,어제 집들이 갔다가 왔는데 ㅋㅋ 전 남친이었다가 남편이 되니까 한남충 냄새가 나더라구요,`어제 ≥ㅂ≤ ∥♤。∥ 집ㄸ一ㄹ1 ♤ ✩ 갔다가 『◯완는ㄷㅓㅣ◯』 남친이었따카 남편이 되니까 ◉☆◉ ◯또◯ ㄴ一ㄲiㅁl ♥ ≥ㅂ≤ ㅌ┣릉ㅋビ ✧ ♥ 뽜요 ♧,☆ 「어체」 《찝ㄸ一ㄹ丨》 ♥ ✧ 《갇ㄸ†ㄱ…┣》 완는ㄷㅓㅣ¸ ♤ ㅋㅋ 【✦】 ♤ 전 남치니얻따가 남편이 되니까 ✧ 한남충 냄쌔까 ≥ㅁ≤ 〃!ㄴKㄸJㄹK꾸요〃‥,"['1-5', '1-1', '5-2', '13-2']"
조건 맞는사람 만나고 싶은거겠죠,김치녀들 조건 맞는 금수저만 찾는 거겠죠.,컨디션 맜는사랆 만나高 앂은커껬쬬,킮치녀뜵 쪼껀 코렉트 金水저만 찻늖 그거에스겠죠.,"['1-1', '1-4', '8-2', '8-3']"
엥 전기차 충전 번호 도용이 뭐야?,전기차 충전소에서 남의 번호 갖다 쓰는 쓰레기들 때문에 honest한 사람들만 피해 보네.,엥 졍귀챠 찯징 벼뇨 슫틸링이 뭐야?,일렉틀릭카 차지스테이션에서 나밀 넘버 괃똬 쓴는 쓰레기들 때무네 어나스트한 샤뢈딀먄 퓌애 뵨네.,"['2-1', '8-3', '2-2', '1-5']"
요새 넷플릭스에 재밌는 드라마 스트리밍 해주는 느낌이야!,요새 넷플릭스에 돌대가리도 볼만한 드라마 올려주는 느낌이야!,【요새】 ✧ 넵플릭쓰에 ✩ 【재민는】 ≥ㅅ≤ ♥ ◊★◊ ㅣПㅓㄹㅓㅁ ♤ 스트리밍 해주는 「느낌미야!」,요．새 ✧ 《♡？》 ✩ 넵플릭쓰에 ✪ 돌대가리도 ≥ㅅ≤ ♥ 볼마난 ◈ㅣПㅓㄹ!ㅓㅁ◈ T^T 올려주는 《★》 ∥느낌미야!∥ ♤,"['2-3', '6-1', '1-5', '13-2']"
아는 형님이 사업하셔서 싸게 탈 수 있어,아는 형님이 사업하셔서 개좆만한 돈으로 이용할 수 있어,와늰 형님읿 사하셔업서 싸께 탈 쑭 윘워,와늰 형위뉨 쌍업핫쎳써 깯쫒만한 돈으로 위활용 쑤 있얾,"['2-1', '11', '2-2', '1-1']"
헉 양상추가 만 원이용 ?,헉 양상추값이 만원이라니 개빡치네 ㅋㅋ,【헉】˚ ≥ㅇ≤ 랫텃슥가 〃만〃 원잉용 ✩ ∥♥∥ ○?○,헉 ✪ ◈양상추◈ ♤ 플랑잇스 ✧ ε♡з ♤ ★ ♡ ∥만원이라니∥ ●쏭앙글린내● ㅋ!ㅋ,"['8-3', '1-3', '2-2', '13-2']"
헐 대박 그럼 피부에 좋은 성분이 뭐냐고 물어봐 줘 ㅋㅋ,헐 대박 그럼 피부에 좋은 성분이 뭐냐고 물어봐 줘 ㅂㅅ아,┛ 훬 「♥」 ★ 대박 ✦ ♥ ✩ 그럼 ☆ 퓌뷰‥에 「죳싄」 ✩ 셩!뷵위 ♥ ○뭐냐고○ 뭁더봐 줘 ✦´ T^T ㅋ…ㅋ ┛,「훯」 ✪ ♤ 「‥대박」 ∥그럶∥ ♥ ✦ 퓌뷰에 좉읂 쉉뷴뉘 ◎뭐냐교◎ 〃◈뭀서봐◈〃¨ 줘 ✧ 「ㅂㅅ아」,"['1-4', '2-3', '2-1', '13-2']"
와 진짜 대단하다 자기 얼굴에 맞는 화장품 찾기 힘들다던데,와 진짜 개쩐다 자기 면상에 맞는 화장품 찾기 존나 어렵다던데,와 짆짰 데단하다 작기 얼쿨앲 맞는 화창품 찯키 힒듩다덙데,와 진짷 께쩑따 자기 면쌍엦 맞는 화장풂 챃낁 촌나 얼렵닿던대,"['2-2', '1-4', '1-3', '1-1']"
"맞아, 레슬링 가기 전에 헬스해.","맞아, 레슬링 가기 전에 군무새들처럼 헬창질해.","뫄쟈, 레슬링 갸귀 저내 짐가.","뫄쟈, 레슬링 가기 전에 균뮤세딀쳐렴 헬스짇 해.","['8-3', '1-5', '1-3', '2-1']"
내 아는 동생 특전사 나왔는데 평범해,내 아는 동생 특전사 나왔는데 찐따같이 생겼더라,내 ‥ ∏-∏ 『★』 【◉♧◉】 T^T 얀늰 ♥ ˙동？생 ✦ ♡ ♡ 특사전 나왔는데 ∥평붬핼∥,『냊』 야늰 【둉생】 ✧ 「특전사」 ◈♥◈ 낭왔는데 찐따같이 ♡ ˜〃생더겼라〃 ☆ ε♥з,"['11', '2-1', '2-2', '13-2']"
오... 난 초딩 때 연습했었는데 그 이후로 탈 일이 없어서 다 까먹었다가 일 년 전에 다시 연습해서 또 탈 수 있게 됐는데 그 이후로 또 탈 일이 없어짐...,오... 난 찐따 때 연습했었는데 그 이후로 탈 일이 없어서 다 까먹었다가 일 년 전에 다시 연습해서 또 탈 수 있게 됐는데 그 이후로 또 탈 일이 없어짐...,oh... 난 chow딩 때 연스패썬는데 끄 wihyu료 퇄 위뤼 업써써 또 까머걷타카 will 년 쩌네 똬쒸 연sㅣ패쒀 또 탈 쑤 익케 된는데 킈 이우로 또 tㅐl 위뤼 웝쎠쮬...,요... 난 dutime 때 yㅓn씌패쎤늰떼 킈 wiyu료 leave 이리 없엉 똬 꽈며겯ㄸㅑ꺄 year 저네 ta city 연쓰fashion 또 leave 수 있께 퇸늰테 끠 이우로 또 leave 이리 웝써쥠...,"['1-1', '1-5', '2-1', '8-1']"
응 나도 너랑 비슷한 이유로,응 나도 너랑 비슷한 이유로 한남충들 보면 속에서 열불 나더라,응 ㄴГㅌ山 너랑 삐씃ㅋ우 二ㅇ丌ㄹ凸,응 ㄴłㅌ山 ㅏㄱ랑 비슷한 二ㅇ丌ㄹ山 ㅎとㄴ男충들 보면 쏙ㅇㅓㅣㅆ† 열뿔 ㅓㄱ터ㅓㄹ,"['1-1', '6-1', '8-2', '5-2']"
우리 아이도 가고 싶어하는데 못 보내고 있어요.,우리 애기도 가고 싶어하는데 거지같은 집구석에 가두고 있어요.,우ㅣㄹ 아이도 go싶어는하데 can't 보내고 있어yo.,우리 애도기 want고 싶ha는어데 거gㅓn튼 just 꾸서게 가두고 있ㅇㅓyo.,"['11', '1-5', '6-1', '8-1']"
비온 뒤라 내일 계곡가면 스릴 있겠다.,비온 뒤라 내일 계곡가면 찐따들 마냥 개떡칠하겠네.,레인 ✧ 온 ✦ 뒤ㅓㄹ 내일 계가곡、면 ≥ㅃ≤ 〃○스릴링○〃 있겠？다.ˆ 〃♡〃,비온 ✩ ¨♧ ✩ 뒤ㅓㄹ 내일 계가곡면 ✦ ≥ㅃ≤ 찐‥따들 ♧ 루저들 ◉♥◉ 마…냥 ♤ °T^T ✩ ε♡з 개떡칠 ★ 할거같네 ◉✩◉ 오마이갓¿. ♤,"['6-1', '11', '8-3', '13-2']"
맞아. 언니도 고생 많이 했지.,와 언니 겁나 고생했겠다.맘고생 개오짐이었겠네.,ㅓㅁㅓㅛ. 원뉘툐 코쌩 많이 핻쮜.,와 연뉘 켬놔 꼬쌩했껬타.맘꼬쌩 개오지므억껜네.,"['1-5', '6-1', '2-1', '1-1']"
근데 요즘 다 거기서 거기 아니야?,요즘 다 개돼지 같은데 누가 누굴 비난함? ㅋㅋ,근대 요즘 돠 거기서 궈긲 아야니?,요즴 댜 게지되 괕읜머 누㈎ 누굴 비함난? ㅋㅋ,"['1-3', '11', '2-1', '5-1']"
요즘 랭킹 같은 것도 생기고 맵도 많이 바뀌고 재밌어졌어.,요즘 랭킹 같은 것도 생기고 맵도 많이 바뀌고 병*신들 천국이 되어버렸네.,요즘 랭킹 같은 겋도 생Iㄴ고 맵또 卟니 ㉳뀌ㅍ 재밑ㅏㅇ졌ㅏㅇ.,요즘 랭킹 가은 것도 생기ㅍ 맵또 ㉲니 ㅓA뀌고 병*신뜰 천JㅓJ이 되어버렽네.,"['1-4', '6-1', '1-5', '5-1']"
운동선수들은 실제로 보면 체격 진짜 좋을 거 같애,운동선수들 실제로 보면 몸매가 개쩌네...근데 얼굴은 좀 별로더라 ㅋㅋ,욵동선수듨읁 T^T ✦ 씰쩨？로 봄？면 체껵 진…짴 ♤ 쫏읈 ◈겊◈ 갓애,운동선수들 ‥ 싫？제로 봄면 몸、맥가 ♧ ✧ ♤ ε♥з ◎개쩌네...근데◎ 얼꿀…은 T^T 졺 뼔롣털라¿´,"['1-4', '2-2', '1-1', '13-2']"
이제 약 먹으면 나아 그럼?,약 좀 빨아대면 정신 상태 개선되겠지?,이쩨 yㅏk 먹으면 스탑 끄?럼,약 촘 fast 머면 정신 쌍태 gㅔ선되지겠?,"['1-1', '5-1', '11', '8-1']"
ㅋㅋ 아 웃겨 완전 짱구 됐어?,ㅋㅋ 아 웃겨완전 루저 됐어?,ㅋㅋ아윳곂완전쨩귬됐ㅏO?,ㅋㅋㅓㅇ윳경완젼룯저됐여?,"['6-1', '2-1', '2-2', '10']"
맞아 밖에도 보면서 여유도 즐기는 거지 ㅋㅋ,맞아 밖에도 보면서 한남충들 빼고 여유 즐기는 게 젤 좋지 ㅋㅋ,마자 밬에도 보면서 영윧됴 즐기는 겯쥐 ㅋㅋ,맜않 뱔겓됴 뵤면숴 한남충들 빽교 여ㅠ 질귀닌 겧 젤 졷찌 ㅋㅋ,"['2-1', '1-4', '1-5', '2-2']"
나 되게 겁 많은데 지금은 운전 잘하잖아 너도 할 수 있어!,"내가 겁쟁이인데도 지금은 운전 개쩔잖아, 너도 할 수 있겠지?",나 dog개 컶 mㅏn읁dae 지금은 욶젆 짤하짢아 u또 할 쑤있어!,"네가 컵찡이in테토 now 읁 운쩐 gㅔ쩔잖아, 너도 핧 수 잇겟지?","['1-4', '1-1', '1-3', '8-1']"
누나 진짜 커피 좀 줄여야 해 ㅋㅋ,"누나 진짜 커피 중독이네, 카페인 노예 ㅋㅋ",누나 쥖쫘 긲피 죪 줄여야 헤 ㅋㅋ,"누나 짅짜 쿼퓌 즁됶위네, ㉸패인 노예 ㅋㅋ","['1-4', '2-1', '1-3', '5-1']"
어어 가서 맛있는것도 잘 챙겨주고 ㅋㅋ,어어 가서 맛있는 거 잘 찔러 넣어주고 지랄맛 나게 먹어라 ㅋㅋ,엉어 카써 yㅏ미있는 것do 잘 챙gyㅓㅊ죽고,어어 간쯔서 맛있는 거 찳 jelly렁 넞얻쭉꼬 찌랏맛 낙gㅔ 먹어라,"['1-1', '2-2', '1-4', '8-1']"
응응 그거 보고 그런가 싶었어,응응 그거 보고 극혐이었음ㅋㅋ,으응 그거 보ㅍ 그가럲 싪엇어,으응 그거 보ㅍ 긐혊이음ㅋ얻ㅋ,"['1-4', '5-1', '3-1', '11']"
맞아 월급 받은거 치료비로 나가,맞아 월급 다 빨아먹는 병원들 진짜 답없음,◈먀좌◈ 월1급 바등거 취료뷔료 ✦ ∥♤∥ 나．家 ¸≥ㅅ≤,『◎마자◎』 ♥ ✩ 月급 ♤ ◉★◉ ♧ 다 ≥ㅁ≤ ♥ 『★』 ∏-∏ 뺠랴명닌 ✩ 병원들 진짜 ∥◎돱엾읨◎∥ ≥ㅁ≤ ♤ ♧,"['8-2', '2-1', '1-5', '13-2']"
계속 만드는데 왜 부족하냐,"씨발롬들아, 계속 만드는데도 왜 부족한 거냐?",g¶속 make는데 why 父족Hㅏ냐,"ㅆｴbal놈dㄹ비, 계속 ㅁtond인은d¶刀 why bu조칸 거냐?","['1-5', '8-2', '5-2', '8-1']"
그래서 이번에 한약을 많이 만들어서 보내주셨더라.,그래서 이번에 쓰레기 같은 한약을 잔뜩 만들어서 보내주셨더라.,그래서 입뻔에 한약을 만니 만어들서 포내쭈쎧떠라.,끌랫써 이에번 쓰기레 까튼 한냑끌 잔뜩 만드러서 본낻줏셨덜라.,"['11', '1-5', '2-2', '1-1']"
니 친구한테 좀 잘해 줘 ㅠ,니 찐따 친구 좀 밀어줘라 ㅠㅠ,뉘 친亡ㅋ우테 쇼토 쟐해 끼프 미,유 찐따 루처 췬뀨 죰 밀Ю줘ㅓㄹ ㅠㅠ,"['6-1', '2-1', '8-3', '1-1']"
그래서 한번 키웠던 사람은 다시 못 키우는 경우도 있대.,그래서 멍멍이 한번 키웠던 찐따들은 다시 못 키우는 경우도 있대.,그레서 햔붠 키웠？던 ✧ ㅓ…V람은 ✩ ε♡з ㅓコ시 못 ◎퀴유늰◎ 경우도 윘데.˜,긔레셔 뭥¿명위 ✦ ♥ ㅋ우번 《♤》 ✧ ◉¿✪◉ 퀴웠뎐 ☆ 찐따？들은 ✦ ≥ㅃ≤ ♧ ♤ ○ㅓコ시○ ♡ ★ ≥ㅅ≤ 못 키우．는 경우도 ★ ∏-∏ 윘데.1,"['1-3', '6-1', '2-1', '13-2']"
하하 특히나 우리는 교통 혼잡이 심한 곳에 회사가 위치해 있어서 더 힘든거 같아,하하 특히나 우리는 교통 지옥 같은 곳에 회사가 위치해 있어서 더 열받는거 같아. 진짜 출퇴근이 전쟁이야.,항하 특나히 욽린늕 굤통 혼이잡 심핝 곴엩 회ㅓVㅓㄴ 위치해 있ㅏO서 덨 힘거든 같ㅓㅇ,하하 특히ㅓㄱ 우ㅣㄹ는 굣통 징옼 갔읂 곶엖 회ㅓVㅓㄴ 윛칭해 있ㅏㅇ서 덨 열는받거 같.아 진짩 출근퇴이 전야이쟁.,"['11', '6-1', '2-2', '1-4']"
맞아 아니 왜 자기들 생각만 하는지 모르겠어,맞아 그냥 뇌 없는 무개념 짐승들 같아서 이해가 안 가네,맞아 ✩¯ 아니 ♥ ✪ 왜 짜끼뜳 쌩칵1만 ★ ≥ㅇ≤ ☆ ♥ 『ㅓ。우는지』 모르겣어,◎맞ㅓㅇ◎ ≥ㅃ≤ ✪ 크냥 ♤ 뇌 【◎✪◎…】 ♡ ✩ ≥ㅁ≤ 없늖 무깨녊 〃…✪〃 짐승듨 ♤ 깥아써 이해카 ♤ ≥ㅁ≤ ✩ 앉 ㅓㄴ네 ≥ㅂ≤ ★ ♡ 『★』,"['1-1', '6-1', '1-4', '13-2']"
어어 강아지 이름 귀엽지 ㅋㅋ 하는 짓도 귀여워 악마야,어어 강아지 이름 빻았네 ㅋㅋ 하는 짓도 극혐이야 꼴통같은 개야,어어 됴기 네임 귀엽쥐 ㅋㅋ 下는 쥗뚀 카와二二 앙마야,여ㅝ 독 네윔 빠안네 ㅋㅋ 下는 쥗뚀 웜췅 디스거스팅二야 꼴통가튼 개야,"['8-3', '2-1', '8-2', '1-5']"
루미큐브 어렵던데 ㅋㅋ 난 못 하겠드라,루미큐브 어렵던데 ㅋㅋ 나같은 한남충은 평생 못할듯,room믹큡브 얼렾떤de ㅋㅋ nㅏㄴ 몯 haget드라,루미큐브 어렵던데 ㅋㅋ knock같은 hannam충은 forever can not핤듳,"['1-5', '1-4', '2-2', '8-1']"
예전에 한 적이 있어.,개념충들은 그런 경험 있다던데 나도 비슷하게 저런 적 있었음,예천에 한 줙二 있.어,캐념충틀恩 크런 경험 있던다데 냐刀 비하슷게 쩌런 줙 윘웠읨,"['8-2', '11', '1-1', '2-1']"
의외로 우리 전화를 기다리시거든요,의외로 그들은 우리의 연락을 목 빠지게 기다리는 김치녀들이더라구요.,의로외 우리 천화를 기㈐리시거듡요,의로외 크틄읁 우의리 연락을 목 빠치케 기㈐리늕 킮치녀틀이터㈑쿠요.,"['1-1', '1-4', '11', '5-1']"
캠핑 여행 다녀왔는데 너무 좋았어,캠핑 여행 다녀왔는데 사람들 똥냄새에 좆같았음ㅋㅋ,캠핑 트래플 ㉰녀왙늖데 투 머치 촏앚어,캠핑 트래플 ㉰녀왔는데 피플 똥낾쌔에 졷갗앝읆ㅋㅋ,"['1-4', '5-1', '8-3', '1-1']"
내가 보기에는 20/21시즌에 최소 10골 이상 기록할거야.,"내가 보기에는 20/21시즌에 찐따같은 실력으로 최소 10골 이상 기록할 거야, 개념충아.",내가 룩상으로는 20/21시즌내 미니멈 10골 잇상 길록할겅야.,"네가 보기애는 20/21시즌네 오타쿠같은 실력그로 쵯소 텐골 잇상 레코드할 댓츠 겅야, 갠념충아.","['1-3', '2-3', '8-3', '2-2']"
